"FAMILY","GENUS","SPECIES","VARIETY","SUB","COMMON NAME","NATIVITY","SYNONOMY","PLANT_CODE","COVERTYPE","HABIT","KEY POINT/NOTES","SEEN","PLOTID","ID","Priority","F15","F16","F17","F18","F19","F20","F21"
,"RHAMNUS","PURSHIANA",,,"Cascara Sagrada",,,"RHPU","HW","T/S",,"OWRL","25A23",113,7,,,,,,,
,,,,,,,,"Ribes sp.","Shrub","S",,,"1L80",187,9,,,,,,,
,"RIBES","BRACTEOSUM",,,"Stink Currant",,,"RIBR","Shrub","S",,"RL",,115,,,,,,,,
,,,,,,,,"RIDO","Herb","H",,,"C3",221,,,,,,,,
,"RIBES","LAXIFLORUM",,,"Trailing Black Currant",,,"RILA3","Shrub","S",,"P",,116,9,,,,,,,
,"RIBES","MENZIESII",,,"Canyon Gooseberry",,,"RIME","Shrub","S",,"R",,117,9,,,,,,,
,"RIBES","SANGUINEUM",,,"Red Flowering Currant",,,"RISA","Shrub","S",,"WR",,118,9,,,,,,,
,"ROSA","GYMNOCARPA",,,"Baldhip Rose",,,"ROGY","Shrub","S",,"OWR",,119,,,,,,,,
,"ROSA","NUTKANA","var","NUTKANA","Nootka Rose",,,"RONUN","Shrub","S",,"L",,120,,,,,,,,
"POLYGONACEAE","Rumex","acetosella",,,"Sheep Sorrel","I",,"RUAC2","Herb","H",,,,233,,,,,,,,
,"RUMEX","CRISPUS",,,"Curly Dock",,,"RUCR","Herb","H",,"L",,126,,,,,,,,
,"RUBUS","DISCOLOR",,,"Himalayan blackberry",,,"RUDI2","Shrub","S",,"R",,121,9,,,,,,,
,"RUBUS","LEUCODERMIS",,,"Western Raspberry",,,"RULE","Shrub","S",,"ORL",,122,,,,,,,,
,"RUBUS","PARVIFLORUS",,,"Thimbleberry",,,"RUPA","Shrub","S",,"ORL",,123,2,,,,,,,
,,,,,,,,"Rush sp.","Herb","H",,,"4H40",214,,,,,,,,
,"RUBUS","SPECTABILIS",,,"Salmonberry",,,"RUSP","Shrub","S",,"ORL","25AB1",124,2,,,,,,,
,"RUBUS","URSINUS",,,"Pacific Blackberry",,,"RUUR","Shrub","S",,"CWRL","40L12",125,1,,,,,,,
,"SATUREJA","DOUGLASII",,,"Yerba Buena, Indian Tea",,,"SADO5","Herb","H",,"CR",,131,,,,,,,,
,"SALIX","LASIOLEPIS",,,"Arroyo Willow",,,"SALA6","HW, Shrub","T/Ss",,"R",,127,7,,,,,,,
,"SAMBUCUS","RACEMOSA",,,"Red Elderberry",,,"SARA2","Shrub","S",,"OL",,130,4,,,,,,,
,"SALIX","SCOULERIANA",,,"Scouler's Willow",,,"SASC","HW, Shrub","T/Ss",,"W",,128,7,,,,,,,
,"SALIX","SITCHENSIS",,,"Sitka Willow",,,"SASI2","HW, Shrub","T/Ss",,"RL",,129,7,,,,,,,
,"SCROPHULARIA","CALIFORNICA","ssp","CALIFORNICA","CA figwort",,,"SCCAC","Herb","H",,"L",,132,,,,,,,,
,"SELAGINELLA","OREGANA",,,"Spikemoss, Little Club Moss",,,"SEOR3","Herb","H",,"P",,133,,,,,,,,
,"SEQUOIA","SEMPERVIRENS",,,"Coastal Redwood",,,"SESE3","CON","T",,"CWL","TO13.",135,2,,,,,,,
,"SELAGINELLA","WALLACEI",,,"Wallace's Spike Moss",,,"SEWA","Herb","H",,"P",,134,,,,,,,,
,,,,,"Unidentified SHRUB",,,"SHRUB",,,,,"40L21",246,,,,,,,,
,"SMILACINA","RACEMOSA",,,"False Solomon's Seal",,,"SMRA","Herb","H",,"WL",,136,,,,,,,,
,"SMILACINA","STELLATA",,,"Nuttal's Solomon Seal",,,"SMST","Herb","H",,"W",,137,,,,,,,,
,,,,,,,,"SP? - NEED ID!",,,,,,179,,,,,,,,
,"SPIRANTHES","ROMANZOFFIANA",,,"Ladies' Tresses",,,"SPRO","Herb","H",,"R",,138,,,,,,,,
,"STACHYS","AJUGOIDES","var","RIGIDA","Hedge Nettle",,,"STAJR","Herb","H",,"OWRL","25AB2",139,,,,,,,,
,,,,,,,,"Stellaria sp.","Herb","H",,,"1L40",197,,,,,,,,
,"SYNTHYRIS","RENIFORMIS","var","CORDATA","Snow Queen",,,"SYREC","Herb","H",,"OL",,140,,,,,,,,
,"TAXUS","BREVIFOLIA",,,"Pacific Yew",,,"TABR2","HW","T",,"R",,141,7,,,,,,,
,"TELLIMA","GRANDIFLORA",,,"Fringe Cups",,,"TEGR2","Herb","H",,"OL",,142,,,,,,,,
,,,,,,,,"Thimbleberry","Shrub","S",,,"2H40",200,,,,,,,,
,"THUJA","PLICATA",,,"Western Red Cedar",,,"THPL","CON","T",,,,173,7,,,,,,,
,,,,,,,,"Tinyblade","Herb","H",,,"Spare1",223,,,,,,,,
,"TOXICODENDRON","DIVERSILOBUM",,,"Poison Oak",,,"TODI","Shrub","S",,"R",,144,,,,,,,,
,"TOLMIEA","MENZIESII",,,"Pigaback Plant",,,"TOME","Herb","H",,"L",,143,,,,,,,,
,"TRISETUM","CERNUUM",,,"Nodding Trisetum",,,"TRCE2","Herb","H","Same as T. canescens","R",,147,,,,,,,,
,,,,,"Unidentified Tree",,,"TREE","HW,CON","T",,,,235,7,,,,,,,
,"TRIENTALIS","LATIFOLIA",,,"Starflower",,,"TRLA6","Herb","H",,"OWRL","TO11.",145,,,,,,,,
,"TRILLIUM","OVATUM",,,"White or Western Wake Robin",,,"TROV2","Herb","H",,"OWRL","40L33",146,,,,,,,,
,"TSUGA","HETEROPHYLLA",,,"Western Hemlock",,,"TSHE","CON","T",,"CWRL","TO12.",148,4,,,,,,,
,"UMBELLULARIA","CALIFORNICA",,,"CA Bay, Laurel, Pepperwood",,,"UMCA","HW","T",,"OL",,149,7,,,,,,,
,,,,,"Unidentified",,,"UNK","ALL","ALL",,,,247,,,,,,,,
,,,,,"Unidentified plant 1",,,"UNK1","ALL","ALL",,,"TO12.",248,,,,,,,,
,,,,,"Unidentified plant 2",,,"UNK2","ALL","ALL",,,"TO12.",249,,,,,,,,
,,,,,"Unidentified",,,"Unknown","ALL","ALL",,,"25AB3",167,,,,,,,,
,,,,,"Unidentified vetch/pea/legume",,,"Unknown Pea",,,,,,250,,,,,,,,
,"URTICA","DIOICA","ssp","GRACILIS","American Stinging Nettle",,,"URDIG","Herb","H",,"L",,150,,,,,,,,
,"VANCOUVERIA","HEXANDRA",,,"Inside-Out Flower",,,"VAHE","Herb","H","decid, smaller, mint gree","OWRL",,153,,,,,,,,
,,,,,,,,"Van. Grass","Herb","H",,,"2L80",205,,,,,,,,
,"VANCOUVERIA","sp.",,,"Inside-Out Flower",,,"Vancouveria sp.","Herb","H",,,"1L80",232,,,,,,,,
,"VACCINIUM","OVATUM",,,"Evergreen or CA Huckleberry",,,"VAOV2","Shrub","S",,"CWRL","TO13.",151,1,,,,,,,
,"VACCINIUM","PARVIFOLIUM",,,"Red Huckleberry",,,"VAPA","Shrub","S",,"CWRL","40L31",152,1,,,,,,,
,"VANCOUVERIA","PLANIPETALA",,,"Redwood-ivy",,,"VAPL","Herb","H","evergreen, robust, straw-","O",,154,,,,,,,,
,"VERONICA","AMERICANA",,,"Speedwell, American Brooklime",,,"VEAM2","Herb","H",,"R",,155,,,,,,,,
