"ID","Plot_ID","PlotID_RSS","Rx_ID","SampleID","PlotNumber","PctSlope","Aspect","UTM_E","UTM_N","Accuracy","TagSets","Crew_PreCut","MonDate_PreCut","Notes_PreCut","Crew__PostCut","MonDate_PostCut","Notes_PostCut","Crew__Yr5","MonDate_Yr5","Notes_Yr5","Crew__Yr10","MonDate_Yr10","Notes_Yr10","DataStatus_PreCut","DataStatus_PostCut","DataStatus_Yr5","DataStatus_Yr10","Pages"
11,"3L40","3L45","L40",5,3,10,"E",410059.24,4567106.97,,"1885-1900; 3201-3239","JT/CE","9/05/07 - 9/10/07 ","NO SHRUBS OR HERBS ARE VERY DOMINANT",,,,"JT, SP, GS","3 /22/2013","ALRU not captured, not in canopy class yet","HSU_Cap18","2/24/2018",,,"entered into db","entered into db","entered into db",3.00
12,"4L40","4L45","L40",5,4,,,410051.89,4567156.01,,"3240-3288","JT/CE","9/6/07 - 9/10/07",,,,,"GS, SP","3 /13/2013","FR diameter=11.8'","HSU_Cap18","2/24/2018",,,"entered into db","entered into db","entered into db",2.00
13,"1L80","1L80","L80",5,1,10,"E",410059.98,4567571.17,,"3386-3464","JT/CE","9/19/07 - 9/24/07",,,,,"JT, SP, GS, FK","3 /27/2013",,"SP,EE,HSU interns","3/14/2018",,,"entered into db","entered into db","entered into db",3.00
14,"2L80","2L80","L80",5,2,10,"E",410197.49,4567278.58,,"3680-3788","JT/CE","10/17/07 - 10/29/07","GAP ON EAST SIDE OF PLOT",,,"low 5 con","FS, SP, JT, FK","4 /10/2013",,"HSU_Cap18","3/13/2018",,,"entered into db","entered into db","entered into db",3.00
15,"3L80","3L80","L80",5,3,15,"E",410001.45,4567699.14,,"1980-2000; 3301-3385","JT/CE/MB","9/17/07 - 9/19/07",,,,,"GS, SP, JT, FK","3 /27/2013",,"HSU_Cap18","3/11/2018",,,"entered into db","entered into db","entered into db",3.00
16,"4L80","4L80","L80",5,4,,,409987.39,4567266.56,,"3289-3300; 1918-1979","JT/CE/LL/MB","9/12/07 - 9/17/08",,,,,"GS, JT, SP, FK","4 /10/2013",,"HSU_Cap18","3/12/2018",,,"entered into db","entered into db","entered into db",4.00
17,"C1","C1","CONTROL",5,1,35,"E",410046.54,4567710.41,,"4124-4234","JEU/JEN/JW/JT","7/10/08 AND 7/22/08","Control",,,,"JT, GS, SP","3 /26/2013",,"HSU_Cap18","3/12/2018",,,"entered into db","entered into db","entered into db",2.00
18,"C2","C2","CONTROL",5,2,5,"E",410012.26,4567568.42,,"4235-4350","JEU/JEN/JSM","7/22/2008","Control",,,,"SP, JT, GS","3 /28/2013","2 sprouts from tag 4256","HSU_Cap18","3/12/2018",,,"entered into db","entered into db","entered into db",2.00
19,"C3","C3","CONTROL",5,3,10,"SW",410133.74,4567218.40,,"4437-4583","JEU/JEN/JW/JSM","7/29/2008","Control",,,,"JT, BP, Amber Piper","4 /4 /2013",,"HSU_Cap18","3/10/2018",,,"entered into db","entered into db","entered into db",3.00
20,"C4","C4","CONTROL",5,4,8,"SE",410071.14,4567509.81,,"4584-4708","JEU/JEN/JW/JSM","8/4/2008","Control",,,,"JT, SP, GS, FK","4 /15/2013",,"SP,EE,HSU interns","3/14/2018",,,"entered into db","entered into db","entered into db",3.00
21,"Spare1","S1","CONTROL",5,1,25,"NE",410091.66,4567467.72,,"4351-4436","JEU/JEN/JW","7/24/2008","Spare Plot?",,,,"JT, BP, GS, FK","4 /1 /2013",,"SP,EE,HSU interns","3/14/2018",,,"entered into db","entered into db","entered into db",2.00
